Release group ID,Release calendar year_start,Release calendar year_end,Water year (WY),Decade,Hatchery name,Data Source,Data status,Total number released,Mean fish mass (g),Release date_start,Release date_end,Release calendar month_start,Release calendar month_end,Rel Water_reported,Release Site_reported,Release Life History Stage_reported,Release_water_AS,Release_site_AS,Release_lat_AS,Release_long_AS,Hatchery-to-release-site-distance_rkm,Release-site-to-ocean-distance_rkm,Source_AS,Notes_AS
4,1950,1950,1950,1,COLEMAN NFH,2011 BO,final,24,NA,NA,NA,NA,NA,NA,SACRAMENTO RIVER,NA,Sacramento River,Sacramento River at Battle Creek,40.35485,-122.17526,9.35,508.51,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
9,1951,1951,1951,1,COLEMAN NFH,2011 BO,final,27,NA,NA,NA,NA,NA,NA,SACRAMENTO RIVER,NA,Sacramento River,Sacramento River at Battle Creek,40.35485,-122.17526,9.35,508.51,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
10,1951,1951,1951,1,COLEMAN NFH,2011 BO,final,83,NA,NA,NA,NA,NA,NA,SACRAMENTO RIVER,NA,Sacramento River,Sacramento River at Battle Creek,40.35485,-122.17526,9.35,508.51,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
429,2002,2002,2002,6,COLEMAN NFH,RMIS,final,73759,NA,37280,37280,1,1,NA,SAC R AT BEND BRIDGE,NA,Sacramento River,Bend Bridge,40.2635,-122.2245,31.81,486.05,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
431,2002,2002,2002,6,COLEMAN NFH,RMIS,final,41682,NA,37281,37281,1,1,NA,SAC R AT BEND BRIDGE,NA,Sacramento River,Bend Bridge,40.2635,-122.2245,31.81,486.05,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
433,2003,2003,2003,6,COLEMAN NFH,RMIS,final,130552,NA,37629,37629,1,1,NA,SAC R AT BEND BRIDGE,NA,Sacramento River,Bend Bridge,40.2635,-122.2245,31.81,486.05,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
438,2003,2003,2003,6,COLEMAN NFH,RMIS,final,70886,NA,37631,37631,1,1,NA,SAC R AT BEND BRIDGE,NA,Sacramento River,Bend Bridge,40.2635,-122.2245,31.81,486.05,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
439,2004,2004,2004,6,COLEMAN NFH,RMIS,final,230653,NA,37991,37994,1,1,NA,SAC R AT BEND BRIDGE,NA,Sacramento River,Bend Bridge,40.2635,-122.2245,31.81,486.05,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
637,1998,1998,1998,6,FEATHER R HATCHERY,Annual Report,draft,38270,NA,NA,NA,1,1,Feather River,Boyd's Pump Boat Ramp,NA,Feather River,Boyd's Pump,39.058038,-121.610567,71.9,239.84,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
638,1998,1998,1998,6,FEATHER R HATCHERY,Annual Report,draft,321470,NA,NA,NA,1,1,Feather River,NA,NA,Feather River,Feather River Hatchery,39.51636,-121.55603,0,313.87,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
639,1998,1998,1998,6,FEATHER R HATCHERY,Annual Report,draft,660,NA,NA,NA,NA,NA,Mokelumne River,Lodi Lake,NA,Mokelumne River,Lodi Lake,38.1482,-121.2954,38.08,167.95,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
1418,1964,1965,1965,2,MOK R FISH INS,Annual Report,final,92525,NA,NA,NA,1,6,NA,NA,Yearling,Mokelumne River,Mokelumne River Hatchery,38.22488,-121.02448,164.23,206.03,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
1420,1965,1966,1966,2,MOK R FISH INS,Annual Report,final,131420,NA,NA,NA,7,1,Mokelumne River,NA,NA,Mokelumne River,Mokelumne River Hatchery,38.22488,-121.02448,164.23,206.03,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
1424,1966,1966,1966,2,MOK R FISH INS,Annual Report,final,27150,NA,NA,NA,NA,NA,Mokelumne River,Mokelumne River Fish Installation,NA,Mokelumne River,Mokelumne River Hatchery,38.22488,-121.02448,164.23,206.03,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
1425,1966,1966,1966,2,MOK R FISH INS,Annual Report,final,57260,NA,NA,NA,NA,NA,Mokelumne River,Below Woodbridge Dam,NA,Mokelumne River,Below Woodbridge Dam,38.15658,-121.29773,39.16,166.88,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
1508,1977,1977,1977,3,MOK R FISH INS,Annual Report,final,47700,NA,NA,NA,1,1,Mokelumne River,NA,NA,Mokelumne River,Mokelumne River Hatchery,38.22488,-121.02448,164.23,206.03,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
1509,1977,1977,1977,3,MOK R FISH INS,Annual Report,final,4052,NA,NA,NA,NA,NA,Mokelumne River,NA,NA,Mokelumne River,Mokelumne River Hatchery,38.22488,-121.02448,164.23,206.03,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
1510,1977,1977,1977,3,MOK R FISH INS,Annual Report,final,8237,NA,NA,NA,NA,NA,NA,NA,Yearling,Mokelumne River,Mokelumne River Hatchery,38.22488,-121.02448,164.23,206.03,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
1511,1979,1979,1979,4,MOK R FISH INS,Annual Report,final,10559,NA,NA,NA,NA,NA,Mokelumne River,NA,Yearling,Mokelumne River,Mokelumne River Hatchery,38.22488,-121.02448,164.23,206.03,CVFR_DB (Sturrock et al. 2019 Fisheries),NA
